Year,Sex,AgeGroup,Count,ASR
1982,Males,0-4,0,0
1982,Males,5-9,0,0
1982,Males,10-14,6,0.9
1982,Males,15-19,30,4.6
1982,Males,20-24,52,7.7
1982,Males,25-29,83,13.1
1982,Males,30-34,126,20.3
1982,Males,35-39,115,21
1982,Males,40-44,133,30
1982,Males,45-49,131,34.2
1982,Males,50-54,179,45.6
1982,Males,55-59,195,52.1
1982,Males,60-64,201,66
1982,Males,65-69,186,73.7
1982,Males,70-74,145,79
1982,Males,75-79,82,74
1982,Males,80-84,54,98.4
1982,Males,85-89,14,67.3
1982,Males,90+,4,52.2
1983,Males,0-4,1,0.2
1983,Males,5-9,2,0.3
1983,Males,10-14,4,0.6
1983,Males,15-19,27,4.1
1983,Males,20-24,51,7.5
1983,Males,25-29,77,12
1983,Males,30-34,125,20
1983,Males,35-39,135,23.2
1983,Males,40-44,125,27.3
1983,Males,45-49,139,35.4
1983,Males,50-54,171,44.4
1983,Males,55-59,203,53.5
1983,Males,60-64,229,71.7
1983,Males,65-69,203,80.6
1983,Males,70-74,156,81.9
1983,Males,75-79,108,93.5
1983,Males,80-84,38,65.8
1983,Males,85-89,16,75.6
1983,Males,90+,10,127.2
1984,Males,0-4,0,0
1984,Males,5-9,1,0.2
1984,Males,10-14,4,0.6
1984,Males,15-19,35,5.3
1984,Males,20-24,55,8
1984,Males,25-29,92,14.1
1984,Males,30-34,110,17.5
1984,Males,35-39,133,22.1
1984,Males,40-44,158,33.2
1984,Males,45-49,155,38.3
1984,Males,50-54,191,50.3
1984,Males,55-59,209,54.6
1984,Males,60-64,223,66.5
1984,Males,65-69,225,90.2
1984,Males,70-74,196,98.5
1984,Males,75-79,120,99.6
1984,Males,80-84,54,88.4
1984,Males,85-89,24,109.5
1984,Males,90+,7,84.5
1985,Males,0-4,0,0
1985,Males,5-9,0,0
1985,Males,10-14,2,0.3
1985,Males,15-19,27,4
1985,Males,20-24,59,8.6
1985,Males,25-29,107,16
1985,Males,30-34,137,21.8
1985,Males,35-39,163,26.1
1985,Males,40-44,168,33.9
1985,Males,45-49,158,37.6
1985,Males,50-54,196,52.3
1985,Males,55-59,256,66.5
1985,Males,60-64,263,76.3
1985,Males,65-69,240,94.5
1985,Males,70-74,213,103.8
1985,Males,75-79,126,99.7
1985,Males,80-84,68,107.2
1985,Males,85-89,30,125.8
1985,Males,90+,8,93.4
1986,Males,0-4,1,0.2
1986,Males,5-9,0,0
1986,Males,10-14,7,1
1986,Males,15-19,40,5.8
1986,Males,20-24,61,9
1986,Males,25-29,102,15
1986,Males,30-34,157,24.7
1986,Males,35-39,187,29.1
1986,Males,40-44,190,36.5
1986,Males,45-49,185,42.7
1986,Males,50-54,196,52
1986,Males,55-59,256,66.5
1986,Males,60-64,285,81.1
1986,Males,65-69,255,95.8
1986,Males,70-74,220,105.1
1986,Males,75-79,149,112.2
1986,Males,80-84,77,116.1
1986,Males,85-89,24,92.5
1986,Males,90+,12,137
1987,Males,0-4,1,0.2
1987,Males,5-9,0,0
1987,Males,10-14,7,1.1
1987,Males,15-19,41,5.8
1987,Males,20-24,76,11.3
1987,Males,25-29,145,20.8
1987,Males,30-34,191,29.4
1987,Males,35-39,224,35.3
1987,Males,40-44,242,43
1987,Males,45-49,208,46.6
1987,Males,50-54,223,58
1987,Males,55-59,302,79.4
1987,Males,60-64,343,96.5
1987,Males,65-69,312,111.9
1987,Males,70-74,260,122.1
1987,Males,75-79,169,122.8
1987,Males,80-84,99,140.7
1987,Males,85-89,24,88.1
1987,Males,90+,10,110.8
1988,Males,0-4,0,0
1988,Males,5-9,0,0
1988,Males,10-14,4,0.6
1988,Males,15-19,56,7.8
1988,Males,20-24,90,13.4
1988,Males,25-29,162,22.9
1988,Males,30-34,189,28.5
1988,Males,35-39,229,35.7
1988,Males,40-44,265,44.5
1988,Males,45-49,257,55.8
1988,Males,50-54,286,72.6
1988,Males,55-59,311,82.9
1988,Males,60-64,352,97.5
1988,Males,65-69,344,117.7
1988,Males,70-74,281,132.1
1988,Males,75-79,202,141.1
1988,Males,80-84,96,130.1
1988,Males,85-89,60,209
1988,Males,90+,14,152.6
1989,Males,0-4,1,0.2
1989,Males,5-9,1,0.2
1989,Males,10-14,12,1.9
1989,Males,15-19,37,5.1
1989,Males,20-24,66,9.7
1989,Males,25-29,110,15.3
1989,Males,30-34,171,25.1
1989,Males,35-39,213,32.8
1989,Males,40-44,268,43.2
1989,Males,45-49,244,50.6
1989,Males,50-54,233,57.4
1989,Males,55-59,274,73.8
1989,Males,60-64,406,111.3
1989,Males,65-69,360,117.3
1989,Males,70-74,290,136.7
1989,Males,75-79,224,149.5
1989,Males,80-84,133,172.6
1989,Males,85-89,53,173.8
1989,Males,90+,15,158.1
1990,Males,0-4,1,0.2
1990,Males,5-9,1,0.2
1990,Males,10-14,4,0.6
1990,Males,15-19,47,6.6
1990,Males,20-24,64,9.3
1990,Males,25-29,116,16.2
1990,Males,30-34,172,24.6
1990,Males,35-39,194,29.6
1990,Males,40-44,274,42.8
1990,Males,45-49,247,49.1
1990,Males,50-54,283,67.3
1990,Males,55-59,271,73.9
1990,Males,60-64,363,98.7
1990,Males,65-69,348,110.9
1990,Males,70-74,322,147.8
1990,Males,75-79,235,152.1
1990,Males,80-84,135,167.1
1990,Males,85-89,60,190.2
1990,Males,90+,14,139.6
1991,Males,0-4,1,0.2
1991,Males,5-9,1,0.2
1991,Males,10-14,8,1.3
1991,Males,15-19,53,7.6
1991,Males,20-24,63,8.9
1991,Males,25-29,127,18.1
1991,Males,30-34,163,22.8
1991,Males,35-39,202,30.4
1991,Males,40-44,255,38.9
1991,Males,45-49,264,50.1
1991,Males,50-54,256,59
1991,Males,55-59,282,76.8
1991,Males,60-64,341,93
1991,Males,65-69,361,112.8
1991,Males,70-74,332,145.3
1991,Males,75-79,252,158.5
1991,Males,80-84,153,181.3
1991,Males,85-89,60,177.4
1991,Males,90+,11,105.9
1992,Males,0-4,1,0.2
1992,Males,5-9,1,0.2
1992,Males,10-14,5,0.8
1992,Males,15-19,39,5.8
1992,Males,20-24,91,12.6
1992,Males,25-29,115,16.6
1992,Males,30-34,151,20.8
1992,Males,35-39,221,32.7
1992,Males,40-44,281,43
1992,Males,45-49,289,51.5
1992,Males,50-54,276,61.9
1992,Males,55-59,318,85.1
1992,Males,60-64,431,118.9
1992,Males,65-69,440,135.5
1992,Males,70-74,365,152.7
1992,Males,75-79,305,188.3
1992,Males,80-84,173,195.9
1992,Males,85-89,60,167.4
1992,Males,90+,26,226.8
1993,Males,0-4,0,0
1993,Males,5-9,1,0.2
1993,Males,10-14,11,1.7
1993,Males,15-19,39,5.9
1993,Males,20-24,76,10.4
1993,Males,25-29,121,17.7
1993,Males,30-34,144,19.7
1993,Males,35-39,224,32.7
1993,Males,40-44,254,38.9
1993,Males,45-49,298,50.1
1993,Males,50-54,301,66.2
1993,Males,55-59,322,84.1
1993,Males,60-64,409,114.5
1993,Males,65-69,453,137.6
1993,Males,70-74,435,173.9
1993,Males,75-79,343,210.4
1993,Males,80-84,183,196.6
1993,Males,85-89,72,190.3
1993,Males,90+,28,225.2
1994,Males,0-4,0,0
1994,Males,5-9,0,0
1994,Males,10-14,10,1.5
1994,Males,15-19,34,5.2
1994,Males,20-24,89,12.2
1994,Males,25-29,134,19.7
1994,Males,30-34,171,23.3
1994,Males,35-39,228,32.9
1994,Males,40-44,272,41.4
1994,Males,45-49,336,54.6
1994,Males,50-54,354,74.8
1994,Males,55-59,347,88.4
1994,Males,60-64,390,110.1
1994,Males,65-69,432,130.3
1994,Males,70-74,405,153.9
1994,Males,75-79,324,198.9
1994,Males,80-84,202,205.5
1994,Males,85-89,82,206.5
1994,Males,90+,22,163.3
1995,Males,0-4,0,0
1995,Males,5-9,1,0.2
1995,Males,10-14,7,1.1
1995,Males,15-19,59,9.1
1995,Males,20-24,86,11.9
1995,Males,25-29,137,19.9
1995,Males,30-34,172,23.6
1995,Males,35-39,224,31.6
1995,Males,40-44,323,48.7
1995,Males,45-49,335,52.9
1995,Males,50-54,360,72.8
1995,Males,55-59,393,97
1995,Males,60-64,419,119
1995,Males,65-69,498,149.1
1995,Males,70-74,475,176.6
1995,Males,75-79,330,195.4
1995,Males,80-84,215,210.3
1995,Males,85-89,102,242.2
1995,Males,90+,26,179.6
1996,Males,0-4,1,0.2
1996,Males,5-9,2,0.3
1996,Males,10-14,8,1.2
1996,Males,15-19,55,8.4
1996,Males,20-24,69,9.8
1996,Males,25-29,154,21.8
1996,Males,30-34,158,22
1996,Males,35-39,229,31.6
1996,Males,40-44,307,45.6
1996,Males,45-49,381,58.5
1996,Males,50-54,392,76.1
1996,Males,55-59,376,90
1996,Males,60-64,404,114.7
1996,Males,65-69,504,150.1
1996,Males,70-74,508,184.9
1996,Males,75-79,406,227.2
1996,Males,80-84,253,240.2
1996,Males,85-89,111,249.4
1996,Males,90+,38,245.3
1997,Males,0-4,1,0.2
1997,Males,5-9,2,0.3
1997,Males,10-14,10,1.5
1997,Males,15-19,37,5.7
1997,Males,20-24,91,13.3
