Year,Sex,Age,Population,Age-Group
1971,Males,0,133347,00-04
1972,Males,0,136987,00-04
1973,Males,0,129492,00-04
1974,Males,0,124803,00-04
1975,Males,0,120678,00-04
1976,Males,0,115457,00-04
1977,Males,0,115298,00-04
1978,Males,0,115249,00-04
1979,Males,0,113443,00-04
1980,Males,0,114488,00-04
1981,Males,0,117842,00-04
1982,Males,0,121129,00-04
1983,Males,0,123761,00-04
1984,Males,0,122309,00-04
1985,Males,0,123187,00-04
1986,Males,0,122376,00-04
1987,Males,0,124069,00-04
1988,Males,0,125702,00-04
1989,Males,0,127847,00-04
1990,Males,0,131758,00-04
1991,Males,0,132946,00-04
1992,Males,0,132385,00-04
1993,Males,0,132575,00-04
1994,Males,0,132124,00-04
1995,Males,0,132269,00-04
1996,Males,0,130388,00-04
1997,Males,0,130109,00-04
1998,Males,0,127895,00-04
1999,Males,0,128409,00-04
2000,Males,0,128561,00-04
2001,Males,0,129011,00-04
2002,Males,0,127625,00-04
2003,Males,0,127686,00-04
2004,Males,0,129525,00-04
2005,Males,0,132477,00-04
2006,Males,0,136681,00-04
2007,Males,0,145930,00-04
2008,Males,0,149299,00-04
2009,Males,0,151627,00-04
2010,Males,0,152773,00-04
2011,Males,0,149027,00-04
2012,Males,0,156689,00-04
2013,Males,0,159365,00-04
2014,Males,0,157172,00-04
2015,Males,0,158281,00-04
2016,Males,0,164034,00-04
2017,Males,0,157582,00-04
2018,Males,0,155693,00-04
2019,Males,0,155909,00-04
2020,Males,0,152351,00-04
2021,Males,0,153352,00-04
1971,Males,1,127834,00-04
1972,Males,1,134232,00-04
1973,Males,1,137057,00-04
1974,Males,1,130161,00-04
1975,Males,1,125807,00-04
1976,Males,1,119694,00-04
1977,Males,1,115936,00-04
1978,Males,1,115587,00-04
1979,Males,1,115402,00-04
1980,Males,1,113943,00-04
1981,Males,1,115397,00-04
1982,Males,1,118804,00-04
1983,Males,1,121591,00-04
1984,Males,1,123927,00-04
1985,Males,1,122572,00-04
1986,Males,1,123947,00-04
1987,Males,1,123655,00-04
1988,Males,1,125202,00-04
1989,Males,1,126870,00-04
1990,Males,1,128771,00-04
1991,Males,1,132272,00-04
1992,Males,1,133314,00-04
1993,Males,1,132178,00-04
1994,Males,1,132531,00-04
1995,Males,1,132458,00-04
1996,Males,1,132662,00-04
1997,Males,1,130955,00-04
1998,Males,1,130678,00-04
1999,Males,1,128553,00-04
2000,Males,1,129355,00-04
2001,Males,1,129860,00-04
2002,Males,1,129677,00-04
2003,Males,1,128410,00-04
2004,Males,1,128539,00-04
2005,Males,1,130491,00-04
2006,Males,1,133184,00-04
2007,Males,1,138494,00-04
2008,Males,1,146337,00-04
2009,Males,1,149254,00-04
2010,Males,1,150573,00-04
2011,Males,1,151366,00-04
2012,Males,1,151351,00-04
2013,Males,1,157765,00-04
2014,Males,1,160025,00-04
2015,Males,1,158130,00-04
2016,Males,1,160005,00-04
2017,Males,1,164284,00-04
2018,Males,1,158074,00-04
2019,Males,1,156059,00-04
2020,Males,1,155578,00-04
2021,Males,1,151580,00-04
1971,Males,2,129131,00-04
1972,Males,2,128856,00-04
1973,Males,2,135564,00-04
1974,Males,2,138038,00-04
1975,Males,2,130706,00-04
1976,Males,2,126940,00-04
1977,Males,2,120387,00-04
1978,Males,2,116767,00-04
1979,Males,2,116016,00-04
1980,Males,2,116036,00-04
1981,Males,2,115058,00-04
1982,Males,2,116828,00-04
1983,Males,2,119697,00-04
1984,Males,2,122051,00-04
1985,Males,2,124497,00-04
1986,Males,2,123396,00-04
1987,Males,2,125016,00-04
1988,Males,2,125422,00-04
1989,Males,2,126572,00-04
1990,Males,2,127912,00-04
1991,Males,2,129682,00-04
1992,Males,2,132943,00-04
1993,Males,2,133510,00-04
1994,Males,2,132283,00-04
1995,Males,2,132911,00-04
1996,Males,2,133031,00-04
1997,Males,2,133594,00-04
1998,Males,2,131804,00-04
1999,Males,2,131384,00-04
2000,Males,2,129357,00-04
2001,Males,2,130513,00-04
2002,Males,2,130585,00-04
2003,Males,2,130672,00-04
2004,Males,2,129222,00-04
2005,Males,2,129727,00-04
2006,Males,2,131752,00-04
2007,Males,2,135371,00-04
2008,Males,2,141116,00-04
2009,Males,2,147229,00-04
2010,Males,2,149392,00-04
2011,Males,2,150320,00-04
2012,Males,2,153940,00-04
2013,Males,2,154130,00-04
2014,Males,2,159012,00-04
2015,Males,2,161280,00-04
2016,Males,2,159736,00-04
2017,Males,2,161266,00-04
2018,Males,2,164674,00-04
2019,Males,2,159110,00-04
2020,Males,2,156519,00-04
2021,Males,2,155186,00-04
1971,Males,3,124442,00-04
1972,Males,3,129786,00-04
1973,Males,3,129748,00-04
1974,Males,3,137320,00-04
1975,Males,3,138640,00-04
1976,Males,3,131186,00-04
1977,Males,3,127286,00-04
1978,Males,3,121212,00-04
1979,Males,3,117652,00-04
1980,Males,3,116677,00-04
1981,Males,3,117110,00-04
1982,Males,3,116466,00-04
1983,Males,3,117729,00-04
1984,Males,3,120287,00-04
1985,Males,3,122753,00-04
1986,Males,3,125490,00-04
1987,Males,3,124744,00-04
1988,Males,3,126617,00-04
1989,Males,3,127405,00-04
1990,Males,3,127677,00-04
1991,Males,3,128732,00-04
1992,Males,3,130351,00-04
1993,Males,3,133363,00-04
1994,Males,3,133945,00-04
1995,Males,3,132706,00-04
1996,Males,3,133431,00-04
1997,Males,3,133966,00-04
1998,Males,3,134497,00-04
1999,Males,3,132706,00-04
2000,Males,3,132226,00-04
2001,Males,3,130450,00-04
2002,Males,3,131352,00-04
2003,Males,3,131470,00-04
2004,Males,3,131697,00-04
2005,Males,3,130419,00-04
2006,Males,3,131114,00-04
2007,Males,3,133673,00-04
2008,Males,3,137727,00-04
2009,Males,3,143766,00-04
2010,Males,3,147633,00-04
2011,Males,3,149673,00-04
2012,Males,3,152827,00-04
2013,Males,3,156387,00-04
2014,Males,3,156510,00-04
2015,Males,3,160379,00-04
2016,Males,3,162613,00-04
2017,Males,3,161466,00-04
2018,Males,3,162374,00-04
2019,Males,3,165220,00-04
2020,Males,3,159856,00-04
2021,Males,3,156241,00-04
1971,Males,4,124187,00-04
